"DD Field","Source Field","Field Description","Selected","Resource"
"MemberCountyOrParish","","The county or parish in which the member is addressed.","No","Member"
"MemberDesignation","AgentDesignation","Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.","Yes","Member"
"MemberDirectPhone","DirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Member"
"MemberEmail","Email","The email address of the Member.","Yes","Member"
"MemberFax","FaxPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Member"
"MemberFirstName","FirstName","The first name of the Member.","Yes","Member"
"MemberFullName","FullName","The full name of the Member. (First Middle Last) or a alternate full name.","Yes","Member"
"MemberHomePhone","HomePhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Member"
"MemberIsAssistantTo","","The MemberMlsId of the Agent/Broker that this member is an assistant.  The typical use will be to add the agent's ID to this field when editing the member record of the assistant.","No","Member"
"MemberKey","Matrix_Unique_ID","A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the MemberKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemMemberKey and OriginatingSystemMemberKey.","Yes","Member"
"MemberKeyNumeric","Matrix_Unique_ID","A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the MemberKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemMemberKey and OriginatingSystemMemberKey.","No","Member"
"MemberLanguages","","The languages the member speaks.","No","Member"
"MemberLastName","LastName","The last name of the Member.","Yes","Member"
"MemberLoginId","","The ID used to logon to the MLS system.","No","Member"
"MemberMiddleName","MiddleName","The middle name of the Member.","Yes","Member"
"MemberMlsAccessYN","","Does the member have access to the MLS system.","No","Member"
"MemberMlsId","MLSID","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Member"
"MemberMlsSecurityClass","","The MLS security group or class given to the member.","No","Member"
"MemberMobilePhone","CellPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Member"
"MemberNamePrefix","","Prefix to the name (e.g. Dr. Mr. Ms. etc.)","No","Member"
"MemberNameSuffix","","Suffix to the surname (e.g. Esq.,  Jr.,  III etc.)","No","Member"
"MemberNationalAssociationId","CREAID","The national association ID of the member.  i.e. in the U.S. is the NRDS number.","Yes","Member"
"MemberNickname","","An alternate name used by the Member, usually as a substitute for the first name.","No","Member"
"MemberOfficePhone","DirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Member"
"MemberOfficePhoneExt","","The extension of the given phone number (if applicable).","No","Member"
"MemberOtherPhoneType","","The type of ""other"" phone. i.e. Preferred, Office, Mobile, Direct, Home, Fax, Pager, Voicemail, Toll Free, SMS, 1, 2, 3, First, Second, Third, etc.. This is used as the list of options for the Member Other Phone repeating elements.","No","Member"
"MemberPager","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Member"
"MemberPassword","Password","A password that the member whishes to share with other systems.  Normal security considerations apply and are the responsibility of the entity utilizing this field.","No","Member"
"MemberPhoneTTYTDD","","(Telecommunications Device for the Deaf/TeleTYpewriter) A user terminal with keyboard input and printer or display output used by the hearing and speech impaired. The device contains a modem and is used over a standard analog phone line. If a recipient does not have a corresponding terminal device, TDD/TTY users dial a relay service composed of operators who receive the typed messages, call the recipients and speak the messages to them. The operators also type the responses back to the TDD/TTY user.","No","Member"
"MemberPostalCode","StreetPostalCode","The postal code of the member.","Yes","Member"
"MemberPostalCodePlus4","","The extension of the postal/zip code.  i.e. +4","Yes","Member"
"MemberPreferredPhone","DirectWorkPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Member"
"MemberPreferredPhoneExt","","The extension of the given phone number (if applicable).","No","Member"
"MemberStateLicense","LicenseNumber","The license of the Member. Separate multiple licenses with a comma and space.","No","Member"
"MemberStateLicenseState","","The state in which the member is licensed.","No","Member"
"MemberStateOrProvince","StreetStateOrProvince","The state or province in which the member is addressed.","Yes","Member"
"MemberStatus","AgentStatus","Is the account active, inactive or under disciplinary action.","No","Member"
"MemberTollFreePhone","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Member"
"MemberType","AgentType","The type of member.  i.e. Agent, Broker, Office Manager, Appraiser, Photographer, Assistants, MLO, Realtor, Association Staff, MLS Staff, etc.","Yes","Member"
"MemberVoiceMail","","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","No","Member"
"MemberVoiceMailExt","","The extension of the given phone number (if applicable).","No","Member"
"ModificationTimestamp","MatrixModifiedDT","Date/time the roster (member or office) record was last modified.","Yes","Member"
"OfficeKey","Office_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set. This is a foreign key relating to the Office resource's OfficeKey.","Yes","Member"
"OfficeKeyNumeric","Office_MUI","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set. This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the MemberAORkey field.","No","Member"
"OfficeMlsId","OfficeMLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Member"
"OfficeName","","The legal name of the brokerage.","No","Member"
"OriginalEntryTimestamp","","Date/time the roster (member or office) record was originally input into the source system.","No","Member"
"OriginatingSystemID","","The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the member was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.","Yes","Member"
"OriginatingSystemMemberKey","","The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the member was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.","Yes","Member"
"OriginatingSystemName","""REALTORS® Association of Hamilton-Burlington""","The name of the Originating record provider.  Most commonly the name of the MLS. The place where the member is originally input by the member.  The legal name of the company.","Yes","Member"
"RAHB_Accreditations","Agent: Accreditations","Accreditations","Yes","Member"
"RAHB_AdministrationInformation","Agent: AdministrationInformation","Administration Information","No","Member"
"RAHB_CMLS","Agent: CMLS","CMLS","Yes","Member"
"RAHB_GenerationalName","Agent: GenerationalName","Generational Name","Yes","Member"
"RAHB_IDXOptInYN","Agent: IDXOptInYN","IDX Opt In YN","No","Member"
"RAHB_IsDeleted","Agent: IsDeleted","Is Deleted","Yes","Member"
"RAHB_LastHumanModificationTimestamp","Agent: LastHumanModificationTimestamp","Last Human Modification Timestam","Yes","Member"
"RAHB_MMSI_ID","Agent: MMSI_ID","MMSI ID","No","Member"
"RAHB_MUC","Agent: MUC","MUC","No","Member"
"RAHB_MailAddress","Agent: MailAddress","Mail Address","Yes","Member"
"RAHB_MailCity","Agent: MailCity","Mail City","Yes","Member"
"RAHB_MailPostalCode","Agent: MailPostalCode","Mail Postal Code","Yes","Member"
"RAHB_MailPostalCodePlus4","Agent: MailPostalCodePlus4","Mail Postal Code Plus 4","Yes","Member"
"RAHB_MailStateOrProvince","Agent: MailStateOrProvince","Mail State Or Province","Yes","Member"
"RAHB_MatrixUserType","Agent: MatrixUserType","Matrix User Type","No","Member"
"RAHB_MembershipDate","Agent: MembershipDate","Membership Date","No","Member"
"RAHB_OtherPhone","Agent: OtherPhone","Other Phone","Yes","Member"
"RAHB_PhotoCount","Agent: PhotoCount","Photo Count","Yes","Member"
"RAHB_PhotoModificationTimestamp","Agent: PhotoModificationTimestamp","Photo Modification Timestamp","Yes","Member"
"RAHB_ProviderKey","Agent: ProviderKey","Provider Key","No","Member"
"RAHB_ProviderModificationTimestamp","Agent: ProviderModificationTimestamp","Provider Modification Timestamp","No","Member"
"RAHB_RETSHeadOfficeVisibility","Agent: RETSHeadOfficeVisibility","RETS Head Office Visibility","No","Member"
"RAHB_RETSOfficeVisibility","Agent: RETSOfficeVisibility","RETS Office Visibility","No","Member"
"RAHB_RUC","Agent: RUC","RUC","Yes","Member"
"RAHB_SendtoCREAYN","Agent: SendtoCREAYN","Sendto CREAYN","No","Member"
"RAHB_TerminationDate","Agent: TerminationDate","Termination Date","Yes","Member"
"SocialMediaFacebookUrlOrId","WebFacebook","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Member"
"SocialMediaLinkedInUrlOrId","WebLinkedIn","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Member"
"SocialMediaTwitterUrlOrId","WebTwitter","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Member"
"SocialMediaType","","A list of types of sites, blog, social media, the Member URL or ID is referring to. i.e. Website, Blog, Facebook, Twitter, LinkedIn, Skype, etc., This list is used to populate the Type with repeating Social Media URL or ID types.","No","Member"
"SocialMediaWebsiteUrlOrId","WebPageAddress","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Member"
"SourceSystemID","","The RESO OUID's OrganizationUniqueId of the Source record provider.  The source system is the system from which the record was directly received.  In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.","No","Member"
"SourceSystemMemberKey","","The system key, a unique record identifier, from the Source System.  The Source System is the system from which the record was directly received.  In cases where the Source System was not where the record originated (the authoritative system), see the Originating System fields.","No","Member"
"SourceSystemName","","The name of the immediate record provider.  The system from which the record was directly received.  The legal name of the company.","No","Member"
"SyndicateTo","","When permitted by the broker, the options made by the individual agent on where they would like their listings syndicated.  i.e. Zillow, Trulia, Homes.com, etc.","No","Member"
"BridgeModificationTimestamp",,"A timestamp representing when last this record was modified in the Bridge system.","Yes","Office"
"FranchiseAffiliation","","The name of the franchise to which the broker/office is contracted.","No","Office"
"IDXOfficeParticipationYN","","Does the Office/Broker participate in IDX.","No","Office"
"MainOfficeKey","HeadOffice_MUI","OfficeKey of the Main Office in a firm/company of offices.  This is a self referencing foreign key relating to this resource's OfficeKey.  This key may be the same value as the OfficeKey for a given record if the given office is the Main Office.","Yes","Office"
"MainOfficeKeyNumeric","","OfficeKey of the Main Office in a firm/company of offices.  This is a self referencing foreign key relating to this resource's OfficeKey.  This key may be the same value as the OfficeKey for a given record if the given office is the Main Office.  This is the numeric only key and used as an alternative to the MainOfficeKey field.","No","Office"
"MainOfficeMlsId","HeadOfficeMLSID","OfficeMlsId of the Main Office in a firm/company of offices.","Yes","Office"
"Media",,"An object containing media information such as id, url and type.","Yes","Office"
"ModificationTimestamp","MatrixModifiedDT","Date/time the roster (member or office) record was last modified.","Yes","Office"
"OfficeAOR","Board","The Office's Board or Association of REALTORS.","Yes","Office"
"OfficeAORMlsId","","The local, well-known identifier for the office's Association of REALTORS. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","No","Office"
"OfficeAORkey","","A system unique identifier. Specifically, in aggregation systems, the OfficeAORkey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId.  This is a foreign key relating to the AOR's member management system in which the record was originated.","No","Office"
"OfficeAORkeyNumeric","","A system unique identifier. Specifically, in aggregation systems, the OfficeAORkey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId.  This is a foreign key relating to the AOR's member management system in which the record was originated.  This is the numeric only key and used as an alternative to the OfficeAORkey field.","No","Office"
"OfficeAddress1","StreetAddress","The street number, direction, name and suffix of the office.","Yes","Office"
"OfficeAddress2","","The unit/suite number of the office.","No","Office"
"OfficeAssociationComments","","Notes relating to the office.","No","Office"
"OfficeBranchType","","The level of the office in the hierarchy of Main, Branch, Stand Alone, etc.,","No","Office"
"OfficeBrokerKey","OfficeContact_MUI","The MemberKey of the responsible/owning broker.  This is a foreign key relating to the Member resource's MemberKey.","Yes","Office"
"OfficeBrokerKeyNumeric","","The MemberKey of the responsible/owning broker.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the OfficeBrokerKey field.","No","Office"
"OfficeBrokerMlsId","BrokerOfRecordMLSID","The MemberMlsId of the responsible/owning broker.","Yes","Office"
"OfficeCity","StreetCity","The city of the office.","Yes","Office"
"OfficeCorporateLicense","","When an office/firm is a corporation, an independent license number is issued.","No","Office"
"OfficeCountyOrParish","","The county or parish in which the offices is located.","No","Office"
"OfficeEmail","Email","The email address of the office","Yes","Office"
"OfficeFax","FaxPhone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Office"
"OfficeKey","Matrix_Unique_ID","A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.","Yes","Office"
"OfficeKeyNumeric","Matrix_Unique_ID","A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the OfficeKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemOfficeKey and OriginatingSystemOfficeKey.","No","Office"
"OfficeManagerKey","","The lead Office Manager for the given office.  This is a foreign key relating to the Member resource's MemberKey.","No","Office"
"OfficeManagerKeyNumeric","","The lead Office Manager for the given office.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the OfficeManagerKey field.","No","Office"
"OfficeManagerMlsId","","The lead Office Manager for the given office.","No","Office"
"OfficeMlsId","MLSID","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","Yes","Office"
"OfficeName","OfficeName","The legal name of the brokerage.","Yes","Office"
"OfficeNationalAssociationId","","The national association ID of the office.  i.e. in the U.S. is the NRDS number.","No","Office"
"OfficePhone","Phone","North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.","Yes","Office"
"OfficePhoneExt","","The extension of the given phone number (if applicable).","No","Office"
"OfficePostalCode","StreetPostalCode","The postal code of the office.","Yes","Office"
"OfficePostalCodePlus4","StreetPostalCodePlus4","The extension of the postal/zip code.  i.e. +4","Yes","Office"
"OfficeStateOrProvince","StreetStateOrProvince","The state or province in which the office is located.","Yes","Office"
"OfficeStatus","OfficeStatus","Is the office active, inactive or under disciplinary action.","Yes","Office"
"OfficeType","OfficeType","The type of business conducted by the office.  i.e. Real Estate, Appraiser, etc.","Yes","Office"
"OriginalEntryTimestamp","","Date/time the roster (member or office) record was originally input into the source system.","No","Office"
"OriginatingSystemID","","The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the office was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.","Yes","Office"
"OriginatingSystemName","""REALTORS® Association of Hamilton-Burlington""","The name of the Originating record provider.  Most commonly the name of the MLS. The place where the office is originally input by the member.  The legal name of the company.","Yes","Office"
"OriginatingSystemOfficeKey","","The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the office was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.","Yes","Office"
"RAHB_BrokerOfRecord_MUI","Office: BrokerOfRecord_MUI","Broker Of Record MUI","No","Office"
"RAHB_CREAID","Office: CREAID","CREAID","No","Office"
"RAHB_FranchiseID","Office: FranchiseID","Franchise ID","No","Office"
"RAHB_IDXOptInYN","Office: IDXOptInYN","IDX Opt In YN","No","Office"
"RAHB_IsDeleted","Office: IsDeleted","Is Deleted","No","Office"
"RAHB_LastHumanModificationTimestamp","Office: LastHumanModificationTimestamp","Last Human Modification Timestam","No","Office"
"RAHB_MLS","Office: MLS","MLS","No","Office"
"RAHB_MMSI_ID","Office: MMSI_ID","MMSI ID","No","Office"
"RAHB_MailAddress","Office: MailAddress","Mail Address","No","Office"
"RAHB_MailCareOf","Office: MailCareOf","Mail Care Of","No","Office"
"RAHB_MailCity","Office: MailCity","Mail City","No","Office"
"RAHB_MailPostalCode","Office: MailPostalCode","Mail Postal Code","No","Office"
"RAHB_MailPostalCodePlus4","Office: MailPostalCodePlus4","Mail Postal Code Plus 4","No","Office"
"RAHB_MailStateOrProvince","Office: MailStateOrProvince","Mail State Or Province","No","Office"
"RAHB_MatrixTesting","Office: MatrixTesting","Matrix Testing","No","Office"
"RAHB_MembershipDate","Office: MembershipDate","Membership Date","No","Office"
"RAHB_OfficeContactMLSID","Office: OfficeContactMLSID","Office Contact MLSID","No","Office"
"RAHB_OfficeLongName","Office: OfficeLongName","Office Long Name","No","Office"
"RAHB_PhotoCount","Office: PhotoCount","Photo Count","No","Office"
"RAHB_PhotoModificationTimestamp","Office: PhotoModificationTimestamp","Photo Modification Timestamp","No","Office"
"RAHB_ProviderKey","Office: ProviderKey","Provider Key","No","Office"
"RAHB_ProviderModificationTimestamp","Office: ProviderModificationTimestamp","Provider Modification Timestamp","No","Office"
"RAHB_SendtoCREAYN","Office: SendtoCREAYN","Sendto CREAYN","No","Office"
"RAHB_ShowingSystem","Office: ShowingSystem","Showing System","No","Office"
"RAHB_TerminationDate","Office: TerminationDate","Termination Date","No","Office"
"SocialMediaFacebookUrlOrId","WebFacebook","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Office"
"SocialMediaLinkedInUrlOrId","WebLinkedIn","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Office"
"SocialMediaTwitterUrlOrId","WebTwitter","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Office"
"SocialMediaType","","A list of types of sites, blog, social media, the Office URL or ID is referring to. i.e. Website, Blog, Facebook, Twitter, LinkedIn, Skype, etc., This list is used to populate the Type with repeating Social Media URL or ID types.","No","Office"
"SocialMediaWebsiteUrlOrId","WebPageAddress","The website URL or ID of social media site or account of the member.  This is a repeating element.  Replace [Type] with any of the options from the SocialMediaType field to create a unique field for that type of social media.  For example: SocialMediaFacebookUrlOrID, SocialMediaSkypeUrlOrID, etc.","Yes","Office"
"SourceSystemID","","The RESO OUID's OrganizationUniqueId of the Source record provider.  The source system is the system from which the record was directly received.  In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.","No","Office"
"SourceSystemName","","The name of the immediate record provider.  The system from which the record was directly received.  The legal name of the company.","No","Office"
"SourceSystemOfficeKey","","The system key, a unique record identifier, from the Source System.  The Source System is the system from which the record was directly received.  In cases where the Source System was not where the record originated (the authoritative system), see the Originating System fields.","No","Office"
"SyndicateAgentOption","","A list of options allowing the broker to pass the decision of syndication choice down to the listing agents.  i.e. No Agent Choice, Allow Agent Choice, Restrict Agent Choice, etc.","No","Office"
"SyndicateTo","","The principal broker's choice on where they would like their listings syndicated.  i.e. Zillow, Trulia, Homes.com, etc.","No","Office"
"AppointmentRequiredYN","","Indicates whether or not the OpenHouse requires an appointment.","No","Openhouse"
"BridgeModificationTimestamp",,"A timestamp representing when last this record was modified in the Bridge system.","Yes","Openhouse"
"ListingId","Listing_MUI","The well known identifier for the listing related to this Open House. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.","Yes","Openhouse"
"ListingKey","matrix_unique_id","A unique identifier for the listing record related to this Open House. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.   This may be a foreign key from the resource selected in the ResourceName field.","Yes","Openhouse"
"ListingKeyNumeric","","A unique identifier for the listing record related to this Open House. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.   This may be a foreign key from the resource selected in the ResourceName field.  This is the numeric only key and used as an alternative to the ListingKey field.","No","Openhouse"
"LivestreamOpenHouseURL",,"Livestream Open House URL","No","Openhouse"
"ModificationTimestamp","MatrixModifiedDT","The transactional timestamp automatically recorded by the MLS system representing the date/time the Open House was last modified.","Yes","Openhouse"
"OpenHouseAttendedBy","","Will the open house be attended by a licensed agent?  Options are attended by agent, attended by the seller or unattended.","No","Openhouse"
"OpenHouseDate","OpenHouseDate","The date on which the open house will occur.","Yes","Openhouse"
"OpenHouseEndTime","EndTime, OpenHouseDate","The time the open house ends.","Yes","Openhouse"
"OpenHouseId","","The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.","No","Openhouse"
"OpenHouseKey","matrix_unique_id","A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.","No","Openhouse"
"OpenHouseKeyNumeric","","A unique identifier for this record from the immediate source. This may be a number, or string that can include URI or other forms.  This is the system you are connecting to and not necessarily the original source of the record.  This is the numeric only key and used as an alternative to the OpenHouseKey field.","No","Openhouse"
"OpenHouseMethod","OpenHouseType","Method for the open house, whether in-person or virtual","Yes","Openhouse"
"OpenHouseRemarks","Description","Comments, instructions or information about the open house.","Yes","Openhouse"
"OpenHouseStartTime","OpenHouseDate, StartTime","The time the open house begins.","Yes","Openhouse"
"OpenHouseStatus","ActiveYN","Status of the open house, i.e. Active, Cancelled, Ended.","Yes","Openhouse"
"OpenHouseType","OpenHouseType","The type of open house.  i.e. Public, Broker, Office, Association, Private (invitation or targeted publication).","Yes","Openhouse"
"OriginalEntryTimestamp","","The transactional timestamp automatically recorded by the MLS system representing the date/time the Open House was entered and made visible to members of the MLS.","No","Openhouse"
"OriginatingSystemID","","The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the Open House was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.","Yes","Openhouse"
"OriginatingSystemKey","","The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the Open House was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.","Yes","Openhouse"
"OriginatingSystemName","""REALTORS® Association of Hamilton-Burlington""","The name of the Originating record provider.  Most commonly the name of the MLS. The place where the Open House is originally input.  The legal name of the company.","Yes","Openhouse"
"RAHB_EntryOrder","OpenHouse: EntryOrder","Entry Order","No","Openhouse"
"RAHB_IsDeleted","OpenHouse: IsDeleted","Is Deleted","No","Openhouse"
"RAHB_LastHumanModificationTimestamp","OpenHouse: LastHumanModificationTimestamp","Last Human Modification Timestam","No","Openhouse"
"RAHB_Latitude","OpenHouse: Latitude","Latitude","No","Openhouse"
"RAHB_Longitude","OpenHouse: Longitude","Longitude","No","Openhouse"
"RAHB_ProviderKey","OpenHouse: ProviderKey","Provider Key","No","Openhouse"
"Refreshments","Refreshments","A description of the refreshments that will be served at the open house.","Yes","Openhouse"
"ShowingAgentFirstName","","The first name of the showing agent.","No","Openhouse"
"ShowingAgentKey","","A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId.  This is a foreign key relating to the Member resource's MemberKey.","No","Openhouse"
"ShowingAgentKeyNumeric","","A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the ShowingAgentKey field.","No","Openhouse"
"ShowingAgentLastName","","The last name of the showing agent.","No","Openhouse"
"ShowingAgentMlsID","","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.","No","Openhouse"
"SourceSystemID","","The RESO OUID's OrganizationUniqueId of the Source record provider.  The source system is the system from which the record was directly received.  In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.","No","Openhouse"
"SourceSystemKey","matrix_unique_id","The system key, a unique record identifier, from the Source System.  The Source System is the system from which the record was directly received.  In cases where the Source System was not where the record originated (the authoritative system), see the Originating System fields.","No","Openhouse"
"SourceSystemName","","The name of the Open House record provider.  The system from which the record was directly received.  The legal name of the company.","No","Openhouse"
"VirtualOpenHouseURL","VirtualOpenHouseURL","URL that links to virtual tours, video tours, 3D tours, etc","Yes","Openhouse"
"BridgeModificationTimestamp",,"A timestamp representing when last this record was modified in the Bridge system.","Yes","Propertyrooms"
"ListingId","Listing_MUI","This is the foreign ID relating to the Property Resource. The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.","Yes","Propertyrooms"
"ListingKey","Listing_MUI","This is the foreign key relating to the Property Resource.  A unique identifier for this record from the immediate source. This is a string that can include URI or other forms.  Alternatively use the ListingKeyNumeric for a numeric only key field.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.","Yes","Propertyrooms"
"ListingKeyNumeric","","This is the foreign key relating to the property resource. A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields.  This is the local key of the system.  When records are received from other systems, a local key is commonly applied.  If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.","No","Propertyrooms"
"ModificationTimestamp","MatrixModifiedDT","Date/time this record was last modified.","Yes","Propertyrooms"
"OriginatingSystemID",,"The RESO OUID's OrganizationUniqueId of the Originating record provider.  The Originating system is the system with authoritative control over the record.  For example; the name of the MLS where the listing was input.  In cases where the Originating system was not where the record originated (the authoritative system), see the Originating System fields.","Yes","Propertyrooms"
"OriginatingSystemKey",,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the listing was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.","Yes","Propertyrooms"
"OriginatingSystemName",,"The name of the Originating record provider.  Most commonly the name of the MLS. The place where the listing is originally input by the member.  The legal name of the company.","Yes","Propertyrooms"
"RAHB_DimensionsMeter","Room: DimensionsMeter","Dimensions Meter","No","Propertyrooms"
